BHK,Total Area,Price,bedroom
2 BHK Apartment in Kalamboli,"1,200 sq.ft.
(111 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 8,333/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-16 Koparkhairane,"845 sq.ft.
(79 sq.m.) Carpet Area","₹ 75 L
₹ 8,875/sq.ft.","2 BHK
1 Bath"
2 BHK Apartment in Kalamboli,"1,175 sq.ft.
(109 sq.m.) Super built-up Area","₹ 85 L
₹ 7,234/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-50 Seawoods,"850 sq.ft.
(79 sq.m.) Carpet Area","₹ 1.2 Cr
₹ 14,117/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"640 sq.ft.
(59 sq.m.) Carpet Area","₹ 29 L
₹ 4,531/sq.ft.","1 BHK
1 Bath"
4 BHK Apartment in Ghansoli,"3,600 sq.ft.
(334 sq.m.) Built-up Area","₹ 5.5 Cr
₹ 15,277/sq.ft.","4 BHK
5 Baths"
2 BHK Apartment in Sector-4 Kalamboli,"810 sq.ft.
(75 sq.m.) Built-up Area","₹ 55 L
₹ 6,790/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-13 Khanda Colony,"617 sq.ft.
(57 sq.m.) Built-up Area","₹ 53 L
₹ 8,589/sq.ft.","2 BHK
1 Bath"
2 BHK Apartment in Sector-17 Airoli,"550 sq.ft.
(51 sq.m.) Carpet Area","₹ 85 L
₹ 15,454/sq.ft.","2 BHK
1 Bath"
"1 BHK Apartment in Sector-4, Vijay Marg, Near Dominos, New Panvel","500 sq.ft.
(46 sq.m.) Built-up Area","₹ 52 L
₹ 10,400/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-10 New Panvel,"900 sq.ft.
(84 sq.m.) Super built-up Area","₹ 54 L
₹ 6,000/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Panvel,"1,300 sq.ft.
(121 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 9,615/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Karanjade,"435 sq.ft.
(40 sq.m.) Carpet Area","₹ 28 L
₹ 6,000/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"670 sq.ft.
(62 sq.m.) Carpet Area","₹ 32 L
₹ 4,776/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 20 Belapur,"697 sq.ft.
(65 sq.m.) Built-up Area","₹ 65 L
₹ 9,325/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kamothe,"404 sq.ft.
(38 sq.m.) Carpet Area","₹ 49 L
₹ 12,128/sq.ft.",1 BHK
1 BHK Apartment in Kharghar,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 49 L
₹ 7,101/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Ulwe,"640 sq.ft.
(59 sq.m.) Super built-up Area","₹ 39.87 L
₹ 6,229/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Old Panvel,"780 sq.ft.
(72 sq.m.) Super built-up Area","₹ 42 L
₹ 5,384/sq.ft.","2 BHK
1 Bath"
1 BHK Apartment in Koperkhairane,"357 sq.ft.
(33 sq.m.) Super built-up Area","₹ 35 L
₹ 9,804/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 28 Vashi,"900 sq.ft.
(84 sq.m.) Super built-up Area","₹ 90 L
₹ 10,000/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Karanjade,"1,130 sq.ft.
(105 sq.m.) Super built-up Area","₹ 82 L
₹ 7,256/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kamothe,"800 sq.ft.
(74 sq.m.) Super built-up Area","₹ 47 L
₹ 5,875/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in 204 205 2nd floor kusum hera appartment,"950 sq.ft.
(88 sq.m.) Built-up Area","₹ 60 L
₹ 6,315/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"1,248 sq.ft.
(116 sq.m.) Super built-up Area","₹ 63 L
₹ 5,048/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-5 Sanpada,"350 sq.ft.
(33 sq.m.) Carpet Area","₹ 23 L
₹ 6,571/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-6 Kopar Khairane,"723 sq.ft.
(67 sq.m.) Carpet Area","₹ 55 L
₹ 7,607/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Nerul,"1,289 sq.ft.
(120 sq.m.) Built-up Area","₹ 1.85 Cr
₹ 14,352/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kamothe,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 37 L
₹ 9,250/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Kalamboli,"645 sq.ft.
(60 sq.m.) Super built-up Area","₹ 46 L
₹ 7,131/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 8 Airoli,"670 sq.ft.
(62 sq.m.) Carpet Area","₹ 91 L
₹ 13,582/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"1,005 sq.ft.
(93 sq.m.) Built-up Area","₹ 38 L
₹ 3,781/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Harigram,"820 sq.ft.
(76 sq.m.) Super built-up Area","₹ 40 L
₹ 4,878/sq.ft.","2 BHK
1 Bath"
1 BHK Apartment in New Panvel,"407 sq.ft.
(38 sq.m.) Carpet Area","₹ 42 L
₹ 10,319/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-15 Ghansoli,"1,140 sq.ft.
(106 sq.m.) Super built-up Area","₹ 1.4 Cr
₹ 12,280/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 26 Vashi,"367 sq.ft.
(34 sq.m.) Carpet Area","₹ 24 L
₹ 6,539/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 19 Ulwe,"720 sq.ft.
(67 sq.m.) Super built-up Area","₹ 55 L
₹ 7,638/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Rabale,"500 sq.ft.
(46 sq.m.) Carpet Area","₹ 25 L
₹ 5,000/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-19 Koper Khairane,"950 sq.ft.
(88 sq.m.) Carpet Area","₹ 40 L
₹ 4,210/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Vashi,"545 sq.ft.
(51 sq.m.) Carpet Area","₹ 50 L
₹ 9,174/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Vadghar,"655 sq.ft.
(61 sq.m.) Built-up Area","₹ 33.5 L
₹ 5,114/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Karanjade,"670 sq.ft.
(62 sq.m.) Super built-up Area","₹ 40 L
₹ 5,970/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 11 Koparkhairane,"1,650 sq.ft.
(153 sq.m.) Carpet Area","₹ 3.5 Cr
₹ 21,212/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Sector-4 New Panvel,"490 sq.ft.
(46 sq.m.) Carpet Area","₹ 46 L
₹ 9,387/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Dronagiri funde,"550 sq.ft.
(51 sq.m.) Super built-up Area","₹ 30 L
₹ 5,454/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 44 Seawoods,"557 sq.ft.
(52 sq.m.) Built-up Area","₹ 67 L
₹ 12,028/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Taloja Panchanand,"854 sq.ft.
(79 sq.m.) Carpet Area","₹ 50 L
₹ 4,445/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 17 Ulwe,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 70 L
₹ 10,769/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 21 Ulwe,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 40 L
₹ 6,153/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Diva Gaothan,"800 sq.ft.
(74 sq.m.) Super built-up Area","₹ 1.55 Cr
₹ 19,375/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 11 Koparkhairane,"568 sq.ft.
(53 sq.m.) Built-up Area","₹ 85 L
₹ 14,964/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Seawoods West,"560 sq.ft.
(52 sq.m.) Built-up Area","₹ 70 L
₹ 12,500/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 20 Airoli,"550 sq.ft.
(51 sq.m.) Super built-up Area","₹ 28.01 L
₹ 5,092/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Old Panvel,"695 sq.ft.
(65 sq.m.) Carpet Area","₹ 50 L
₹ 7,194/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-18 Kopar Khairane,"985 sq.ft.
(92 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 12,690/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in New Panvel,"600 sq.ft.
(56 sq.m.) Super built-up Area","₹ 29 L
₹ 4,833/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-6 Kharghar,"1,025 sq.ft.
(95 sq.m.) Super built-up Area","₹ 1.45 Cr
₹ 14,146/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 30A Vashi,"630 sq.ft.
(59 sq.m.) Built-up Area","₹ 1.1 Cr
₹ 17,460/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Khandeshwar,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 55 L
₹ 8,148/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel East,"460 sq.ft.
(43 sq.m.) Carpet Area","₹ 62 L
₹ 13,454/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Takka Colony,"645 sq.ft.
(60 sq.m.) Carpet Area","₹ 1.15 Cr
₹ 17,829/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,010 sq.ft.
(94 sq.m.) Super built-up Area","₹ 85 L
₹ 8,415/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-18 Ulwe,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 80 L
₹ 6,956/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 9 Airoli,"825 sq.ft.
(77 sq.m.) Built-up Area","₹ 85 L
₹ 10,303/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Roadpali,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 72 L
₹ 6,857/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Panvel,"615 sq.ft.
(57 sq.m.) Built-up Area","₹ 35 L
₹ 5,691/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sanpada,"880 sq.ft.
(82 sq.m.) Built-up Area","₹ 1.1 Cr
₹ 12,500/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-17 Airoli,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 62 L
₹ 13,777/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Palaspe Phata,"380 sq.ft.
(35 sq.m.) Carpet Area","₹ 28 L
₹ 7,368/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Taloja,"770 sq.ft.
(72 sq.m.) Built-up Area","₹ 24.9 L
₹ 3,233/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Panvel,"525 sq.ft.
(49 sq.m.) Super built-up Area","₹ 28 L
₹ 5,333/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Dapoli,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 70 L
₹ 6,363/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Panvel,"515 sq.ft.
(48 sq.m.) Built-up Area","₹ 25 L
₹ 4,854/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-6 Nerul,"550 sq.ft.
(51 sq.m.) Super built-up Area","₹ 60 L
₹ 10,909/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"970 sq.ft.
(90 sq.m.) Built-up Area","₹ 42 L
₹ 6,222/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Vashi,"530 sq.ft.
(49 sq.m.) Super built-up Area","₹ 42 L
₹ 7,924/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Taloja,"430 sq.ft.
(40 sq.m.) Carpet Area","₹ 40 L
₹ 9,302/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in near dyandeep School,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 28 L
₹ 7,000/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-17 Airoli,"500 sq.ft.
(46 sq.m.) Carpet Area","₹ 80 L
₹ 16,000/sq.ft.","2 BHK
1 Bath"
1 BHK Apartment in Taloja Panchanand,"500 sq.ft.
(46 sq.m.) Carpet Area","₹ 45 L
₹ 9,000/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Dronagiri,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 52.5 L
₹ 5,000/sq.ft.",2 BHK
1 BHK Apartment in Ulwe,"665 sq.ft.
(62 sq.m.) Super built-up Area","₹ 43.22 L
₹ 6,500/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Ghansoli,"495 sq.ft.
(46 sq.m.) Carpet Area","₹ 1.3 Cr
₹ 26,262/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"1,200 sq.ft.
(111 sq.m.) Built-up Area","₹ 75 L
₹ 6,250/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-12 Kopar Khairane,"648 sq.ft.
(60 sq.m.) Carpet Area","₹ 1 Cr
₹ 15,432/sq.ft.","2 BHK
2 Baths"
"2 BHK Apartment in PLOT NO.56, SECTOR NO-36,OPPOSITE BHATIJA TOWER,KAMOTHE, NAVI MUMBAI-410206","640 sq.ft.
(59 sq.m.) Carpet Area","₹ 1.02 Cr
₹ 15,937/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 28 Vashi,"800 sq.ft.
(74 sq.m.) Carpet Area","₹ 1.9 Cr
₹ 23,750/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"720 sq.ft.
(67 sq.m.) Super built-up Area","₹ 67 L
₹ 9,305/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 21 Ghansoli,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 1 Cr
₹ 10,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kalundre,"447 sq.ft.
(42 sq.m.) Carpet Area","₹ 33 L
₹ 7,382/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Taloja,"1,110 sq.ft.
(103 sq.m.) Super built-up Area","₹ 60 L
₹ 8,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kolkhe Village,"750 sq.ft.
(70 sq.m.) Carpet Area","₹ 40 L
₹ 5,333/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 75 L
₹ 7,500/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Dombivali,"377 sq.ft.
(35 sq.m.) Carpet Area","₹ 28 L
₹ 7,427/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 35I Kharghar,"1,210 sq.ft.
(112 sq.m.) Super built-up Area","₹ 90 L
₹ 7,438/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Dighe,"1,245 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.6 Cr
₹ 12,851/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 19 Ulwe,"380 sq.ft.
(35 sq.m.) Carpet Area","₹ 50 L
₹ 13,157/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Old Panvel,"520 sq.ft.
(48 sq.m.) Carpet Area","₹ 70 L
₹ 13,461/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-12 New Panvel,"385 sq.ft.
(36 sq.m.) Carpet Area","₹ 44 L
₹ 11,428/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"625 sq.ft.
(58 sq.m.) Built-up Area","₹ 27.6 L
₹ 4,416/sq.ft.","2 BHK
1 Bath"
1 BHK Apartment in New Panvel,"645 sq.ft.
(60 sq.m.) Built-up Area","₹ 29 L
₹ 4,496/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"680 sq.ft.
(63 sq.m.) Carpet Area","₹ 39 L
₹ 5,735/sq.ft.","2 BHK
2 Baths"
Apartment in nerul sector 36,"275 sq.ft.
(26 sq.m.) Carpet Area","₹ 15 L
₹ 5,454/sq.ft.",1 Bath
"1 BHK Apartment in Sector-9, Taloja Phase 1","690 sq.ft.
(64 sq.m.) Carpet Area","₹ 44 L
₹ 6,376/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Nerul,"670 sq.ft.
(62 sq.m.) Carpet Area","₹ 1.5 Cr
₹ 22,388/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"1,246 sq.ft.
(116 sq.m.) Super built-up Area","₹ 68 L
₹ 5,457/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-1 Shiravane,"600 sq.ft.
(56 sq.m.) Carpet Area","₹ 50 L
₹ 8,333/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Navade,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 38.5 L
₹ 8,555/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 36 Kharghar,"365 sq.ft.
(34 sq.m.) Carpet Area","₹ 43.5 L
₹ 11,917/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-10 Vashi,"280 sq.ft.
(26 sq.m.) Carpet Area","₹ 70 L
₹ 25,000/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Near Dmart,"535 sq.ft.
(50 sq.m.) Carpet Area","₹ 70 L
₹ 13,084/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"333 sq.ft.
(31 sq.m.) Carpet Area","₹ 25 L
₹ 7,507/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Airoli,"480 sq.ft.
(45 sq.m.) Carpet Area","₹ 70 L
₹ 14,583/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 22 Kamothe,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 48 L
₹ 7,111/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector 12 Vashi,"1,800 sq.ft.
(167 sq.m.) Carpet Area","₹ 2.25 Cr
₹ 12,500/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 11 Kharghar,"610 sq.ft.
(57 sq.m.) Built-up Area","₹ 59 L
₹ 9,672/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Karanjade,"1,125 sq.ft.
(105 sq.m.) Built-up Area","₹ 65 L
₹ 5,777/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"550 sq.ft.
(51 sq.m.) Built-up Area","₹ 29.5 L
₹ 5,363/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 8 Airoli,"650 sq.ft.
(60 sq.m.) Carpet Area","₹ 90 L
₹ 13,846/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 9 Airoli,"410 sq.ft.
(38 sq.m.) Carpet Area","₹ 60 L
₹ 14,634/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Rasayani,"700 sq.ft.
(65 sq.m.) Super built-up Area","₹ 25 L
₹ 3,571/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Taloja,"380 sq.ft.
(35 sq.m.) Carpet Area","₹ 30 L
₹ 7,894/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 12 Vashi,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 90 L
₹ 22,500/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Ulwe,"379 sq.ft.
(35 sq.m.) Carpet Area","₹ 65 L
₹ 17,150/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 30 L
₹ 7,500/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Panvel,"695 sq.ft.
(65 sq.m.) Super built-up Area","₹ 62 L
₹ 8,920/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Vichumbe,"620 sq.ft.
(58 sq.m.) Built-up Area","₹ 42 L
₹ 6,774/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 23 Ulwe,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 85 L
₹ 8,500/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Shilphata,"560 sq.ft.
(52 sq.m.) Super built-up Area","₹ 55 L
₹ 9,821/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 16 Vashi,"600 sq.ft.
(56 sq.m.) Carpet Area","₹ 1.15 Cr
₹ 19,166/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ghotkamp Koyana Vele,"525 sq.ft.
(49 sq.m.) Carpet Area","₹ 28 L
₹ 5,333/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"735 sq.ft.
(68 sq.m.) Built-up Area","₹ 47.5 L
₹ 6,462/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"525 sq.ft.
(49 sq.m.) Carpet Area","₹ 25 L
₹ 4,761/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-18 Ulwe,"660 sq.ft.
(61 sq.m.) Super built-up Area","₹ 65 L
₹ 9,848/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Rasayani,"545 sq.ft.
(51 sq.m.) Super built-up Area","₹ 21.5 L
₹ 3,944/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Nerul,"470 sq.ft.
(44 sq.m.) Built-up Area","₹ 43 L
₹ 9,148/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Dronagiri,"1,565 sq.ft.
(145 sq.m.) Super built-up Area","₹ 95 L
₹ 6,070/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-50 Seawoods,"861 sq.ft.
(80 sq.m.) Super built-up Area","₹ 95 L
₹ 11,033/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 17 Ulwe,"605 sq.ft.
(56 sq.m.) Super built-up Area","₹ 50 L
₹ 8,264/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"375 sq.ft.
(35 sq.m.) Carpet Area","₹ 26 L
₹ 6,933/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"966 sq.ft.
(90 sq.m.) Super built-up Area","₹ 87.5 L
₹ 9,057/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 9 Airoli,"345 sq.ft.
(32 sq.m.) Built-up Area","₹ 43 L
₹ 12,463/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 4 Kharghar,"671 sq.ft.
(62 sq.m.) Carpet Area","₹ 60 L
₹ 8,941/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kamothe,"600 sq.ft.
(56 sq.m.) Built-up Area","₹ 40 L
₹ 6,666/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 12 Kharghar,"510 sq.ft.
(47 sq.m.) Super built-up Area","₹ 36 L
₹ 7,058/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"1,800 sq.ft.
(167 sq.m.) Super built-up Area","₹ 90 L
₹ 5,000/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-11 Khanda Colony,"512 sq.ft.
(48 sq.m.) Carpet Area","₹ 75.01 L
₹ 14,627/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Nerul PLOT 74A sec 19,"615 sq.ft.
(57 sq.m.) Built-up Area","₹ 90 L
₹ 14,634/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Seawoods,"625 sq.ft.
(58 sq.m.) Built-up Area","₹ 82 L
₹ 13,120/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Diwale gaon,"565 sq.ft.
(52 sq.m.) Carpet Area","₹ 55 L
₹ 9,734/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Karanjade,"660 sq.ft.
(61 sq.m.) Super built-up Area","₹ 45 L
₹ 6,818/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"635 sq.ft.
(59 sq.m.) Built-up Area","₹ 31 L
₹ 4,881/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Panvel,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 1.2 Cr
₹ 10,909/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Karanjade,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 55 L
₹ 8,148/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 17 Ulwe,"615 sq.ft.
(57 sq.m.) Built-up Area","₹ 45 L
₹ 7,317/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Airoli,"500 sq.ft.
(46 sq.m.) Built-up Area","₹ 99.5 L
₹ 19,900/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"320 sq.ft.
(30 sq.m.) Super built-up Area","₹ 40 L
₹ 12,500/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Near Kerla House,"550 sq.ft.
(51 sq.m.) Built-up Area","₹ 68 L
₹ 12,363/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 17 Ulwe,"610 sq.ft.
(57 sq.m.) Super built-up Area","₹ 42 L
₹ 14,000/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"425 sq.ft.
(39 sq.m.) Super built-up Area","₹ 29.5 L
₹ 6,941/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"636 sq.ft.
(59 sq.m.) Super built-up Area","₹ 30 L
₹ 4,716/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-14 Airoli,"1,000 sq.ft.
(93 sq.m.) Carpet Area","₹ 1.7 Cr
₹ 17,000/sq.ft.","3 BHK
2 Baths"
2 BHK Apartment in Kamothe,"1,125 sq.ft.
(105 sq.m.) Super built-up Area","₹ 98 L
₹ 8,711/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-34B Kharghar,"720 sq.ft.
(67 sq.m.) Built-up Area","₹ 47 L
₹ 6,527/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector 19 Ulwe,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 80 L
₹ 7,272/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-18 Ulwe,"1,105 sq.ft.
(103 sq.m.) Super built-up Area","₹ 80 L
₹ 7,239/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Karanjade,"650 sq.ft.
(60 sq.m.) Carpet Area","₹ 45 L
₹ 6,923/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"850 sq.ft.
(79 sq.m.) Carpet Area","₹ 44 L
₹ 5,176/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Panvel,"805 sq.ft.
(75 sq.m.) Built-up Area","₹ 47 L
₹ 5,839/sq.ft.","2 BHK
2 Baths"
